Sentence,Tag
스타벅스 앞인데요 교통사고가 나서 빨리 와주셔야 할 것 같아요 .,LOC O O O O O O O O O
도로에서 두 차가 충돌해서 큰 사고가 났고 여기는 수원 세류지하차도에요 .,O O O O O O O O LOC LOC O
이문초 주변인데 술 취한 사람이 돌아다녀요 .,LOC O O O O O O
청량초 앞인데 이상한 사람이 돌아다닙니다 .,LOC O O O O O
이상한 사람이 청량초 앞에 돌아다녀요 .,O O LOC O O O
종로금거래소인데 강도가 가게를 털어갔어요 .,LOC O O O O
세화어린이공원인데 불법 텐트를 치고 길을 막고 있어요 .,LOC O O O O O O O
연희삼거리인데 교통사고가 크게 나서 신고드려요 .,LOC O O O O O
미아사거리에 포트홀이 있어서 정비가 필요합니다 .,LOC O O O O O
해운대에 사람이 쓰러져 있어요 .,LOC O O O O
경동주유소에서 가스 누출이 발생했습니다 .,LOC O O O O
피씨방에서 살인 사건이 일어났습니다 .,LOC O O O O
피씨방인데 화재가 발생한 것 같아요 .,LOC O O O O O
화재가 발생해서 빨리 피씨방으로 와주셔야 할 것 같아요 .,O O O LOC O O O O O
피방에 강도가 들었어요 .,LOC O O O
화재가 발생해서 빨리 피방으로 와주셔야 할 것 같아요 .,O O O LOC O O O O O
PC방에서 살인 사건이 일어났어요 .,LOC O O O O
PC방인데 화재가 발생한 것 같아요 .,LOC O O O O O
PC방에 강도가 들었어요 .,LOC O O O
화재가 발생해서 빨리 PC방으로 와주셔야 할 것 같아요 .,O O O LOC O O O O O
pc방에서 살인 사건이 일어났어요 .,LOC O O O O
pc방인데 화재가 발생한 것 같아요 .,LOC O O O O O
pc방에 강도가 들었어요 여기 외댄데요 사람들이 비명을 지르면서 도망쳐요 .,LOC O O O LOC O O O O O
여기 외댄데요 도서관에서 화재가 발생했어요 .,O LOC LOC O O O
여기 외대인데요 사람들이 많이 쓰러져 있어요 .,O LOC O O O O O
여기는 외대 도서관이고 사람들이 칼에 찔렸어요 .,O LOC LOC O O O O
여기는 외대 도서관인데요 가스 냄새가 나요 .,O LOC LOC O O O O
외대인데 칼을 들고 휘두르는 사람이 있어요 .,LOC O O O O O O
외대인데 앞 도로에 교통사고가 크게 났어요 .,LOC O O O O O O
스벅인데 사람들끼리 싸움이 크게 났어요 .,LOC O O O O O
외대 스벅인데 남자가 여자를 심하게 때리고 있어요 .,LOC LOC O O O O O O
외대 스벅으로 빨리 와주세요 .,LOC LOC O O O
스타벅스인데 사람들이 싸우고 있어요 .,LOC O O O O
스타벅스인데 손님이 알바생을 때리고 있어요 .,LOC O O O O O
이대 정문 앞에 있는 맘터인데요 흉기 난동이 벌어졌어요 .,LOC LOC O O LOC O O O O
이대 정문 쪽에 교통사고가 크게 났어요 .,LOC LOC O O O O O
이대로 빨리 와주세요 .,LOC O O O
이대인데요 취객이 난동을 부려요 .,LOC O O O O
이댄데요 앞에 사람이 쓰러져 있어요 .,LOC O O O O O
역할맥 앞에 사람이 쓰러져 있어요 .,LOC O O O O O
역할맥으로 빨리 와주세요 .,LOC O O O
역할맥인데 큰 싸움이 벌어졌어요 .,LOC O O O O
역할맥에서 살인사건이 일어났어요 .,LOC O O O
숙대 정문 앞에 있는 맘터로 빨리 와주세요 .,LOC LOC O O LOC O O O
숙댄데 사람이 쓰러져 있어요 .,LOC O O O O
성댄데 사람들이 비명을 질러요 .,LOC O O O O
맘터 건물에서 연기가 나고 있어요 .,LOC O O O O O
역할맥 근처에서 불이 났어요 .,LOC O O O O
신전 앞에서 피해자가 도움을 필요로 해요 .,LOC O O O O O O
성폭행 피해자가 도움을 요청하는데 성대 정문 신전으로 빨리 와주세요 .,O O O O LOC LOC LOC O O O
이대 올영 앞에서 피해자가 도움을 청하고 있습니다 .,LOC LOC O O O O O O
살인 사건 발생으로 인해 경찰이 맥날 근처로 출동했습니다 .,O O O O O LOC O O O
빠바 앞 도로에서 음주 운전 사고가 발생했어요 .,LOC O O O O O O O
숙대 도서관 주변에서 소음이 심하고 폭력 사건이 발생했습니다 .,LOC LOC O O O O O O O
이대인데 정문 근처에서 화물차와 승용차의 교통사고가 발생했어요 .,LOC LOC O O O O O O
편의점 앞에서 난동을 부리는 사람이 있어서 경찰이 필요합니다 .,LOC O O O O O O O O
편의점인데요 사람이 칼에 찔렸어요 .,LOC O O O O
화재가 발생했는데 편의점으로 빨리 와주세요 .,O O LOC O O O
수영장에서 의심스러운 사람들이 있어서 주의가 필요합니다 .,LOC O O O O O O
수영장으로 와주셔야 할 것 같아요 .,LOC O O O O O
수영장에 사람이 죽어있어요 .,LOC O O O
숙대인데요 근처에서 화재가 발생했어요 .,LOC O O O O
외대 앞 동노 건물에서 화학 물질 유출 사고가 발생했습니다 .,LOC O LOC O O O O O O O
베라 건물에서 불이 번지고 있는 것 같아요 .,LOC O O O O O O O
코노 주변에서 음주 상태로 과속을 하는 차량이 있습니다 .,LOC O O O O O O O O
노래방 앞에서 소란을 피우는 사람들이 있어서 경찰이 필요합니다 .,LOC O O O O O O O O
노래방인데요 소란을 피우는 사람이 있어요 .,LOC O O O O O
싸움이 일어나서 노래방으로 빨리 와주세요 .,O O LOC O O O
후문 근처에서 칼을 든 남성이 보여서 위험합니다 .,LOC O O O O O O O
여기는 성대인데요 도서관 내부에서 불이 나서 화재 대피가 필요합니다 .,O LOC LOC O O O O O O O
성대 주변에서 사람이 차에 치이는 사고가 발생했습니다 .,LOC O O O O O O O
맥날 근처에서 폭력 사건이 발생했습니다 .,LOC O O O O O
이대에서 성폭행 사건이 발생했어요 .,LOC O O O O
스터디카페에서 화재 경보가 울려서 대피 중입니다 .,LOC O O O O O O
외대 후문 스터디카펜데 사람이 쓰러졌어요 .,LOC LOC LOC O O O
동노 건물에서 불이 번지고 있어요 .,LOC O O O O O
코인노래방 앞에서 싸움이 일어났어요 .,LOC O O O O
숙대 주변에서 음주 운전 사고가 발생했습니다 .,LOC O O O O O O
편의점 앞에서 화물차와 승용차가 충돌했어요 .,LOC O O O O O
수영장 근처에서 불이 났어요 .,LOC O O O O
정문 앞에서 무기를 든 사람이 보입니다 .,LOC O O O O O O
올영 주변에서 남성이 여성을 협박하고 있어요 .,LOC O O O O O O
본죽으로 빨리 와주세요 .,LOC O O O
본죽인데 사람이 쓰러졌어요 .,LOC O O O
외대 본죽이에요 .,LOC LOC O
이대 본죽입니다 .,LOC LOC O
성대 본죽 앞에 사람이 죽어있어요 .,LOC LOC O O O O
역할맥 근처 도로에서 도로 결빙으로 차량이 슬립해 사고가 발생했습니다 .,LOC O O O O O O O O O
스터디카펜데 가스 냄새가 나요 .,LOC O O O O
스터디카페인데 가스 냄새가 나요 .,LOC O O O O
베라인데 싸움이 벌여졌어요 .,LOC O O O
이대 배라인데 싸움이 벌어졌어요 .,LOC LOC O O O
스벅인데 무기를 든 사람이 보입니다 .,LOC O O O O O
스벅인데 화재 경보가 울려서 대피 중이에요 .,LOC O O O O O O
스타벅스인데요 싸움이 일어났어요 .,LOC O O O
스벅으로 빨리 와주세요 .,LOC O O O
숙대 앞에 있는 스터디카펜데요 가스 폭발이 일어났어요 .,LOC O O LOC O O O O
숙대 정문 앞에 신전인데 빨리 와주세요 .,LOC LOC O LOC O O O
숙대로 와주셔야 해요 .,LOC O O O
숙대로 와서 칼을 든 사람을 진압해 주세요 .,LOC O O O O O O O
살인 사건이 발생했는데 여기는 숙대에요 .,O O O O LOC O
이대 앞에 있는 맘터입니다 .,LOC O O LOC O
이대 후문 앞에 베라인데 빨리 와주세요 이대로 빨리 와주세요 .,LOC LOC O LOC O O LOC O O O
이대 쪽으로 와서 범인을 잡으셔야 해요 .,LOC O O O O O O
강도 사건이 발생했는데 여기는 이대입니다 .,O O O O LOC O
외대 역할맥으로 와주세요 .,LOC LOC O O
외대 정문 쪽 배라입니다 .,LOC LOC O LOC O
성대 올영 건물에 강도가 들었어요 .,LOC LOC O O O O
성대 올영인데 싸움이 일어났어요 .,LOC LOC O O O
성대 올영으로 빨리 와주세요 .,LOC LOC O O O
성대 올영이구요 사람이 칼에 맞아 쓰러졌어요 .,LOC LOC O O O O O
빠바에서 사람들이 싸우고 있어요 .,LOC O O O O
외대 빠바 앞에 있는 신전인데 불이 났어요 .,LOC LOC O O LOC O O O
숙대 도서관에서 사람이 쓰러져 있어요 .,LOC LOC O O O O
숙대 도서관인데 사람들이 너무 시끄럽게 해요 .,LOC LOC O O O O O
숙대 도서관으로 빨리 오세요 .,LOC LOC O O O
외대 후문 카페 앞인데 차들이 미끌어졌어요 .,LOC LOC LOC O O O O
성대 후문 스터디카페로 빨리 와주세요 .,LOC LOC LOC O O O
성대 정문 스터디카펜데 깡패들이 사람을 패고 있어요 .,LOC LOC LOC O O O O O
코노에서 사람들이 마약을 하고 있어요 .,LOC O O O O O
이대 정문 코노인데요 사람들이 싸워요 .,LOC LOC LOC O O O
이대 정문 코논데 깡패들이 사람들을 위협하고 있어요 .,LOC LOC LOC O O O O O
외대 정문 동노인데요 사람들이 싸워요 .,LOC LOC LOC O O O
외대 정문 동논데 깡패들이 위협해요 .,LOC LOC LOC O O O
성대 정문 코인노래방인데 마약 의심 손님이 있어요 .,LOC LOC LOC O O O O O
성대 정문 코인노래방에서 싸움이 일어났어요 .,LOC LOC LOC O O O
성대 코인노래방에서 불이 났어요 .,LOC LOC O O O
외대 주변 편의점에서 불이 난 것 같아요 .,LOC O LOC O O O O O
외대 후문 편의점인데 강도가 들었어요 .,LOC LOC LOC O O O
편의점으로 빨리 와주세요 .,LOC O O O
이대 근처 수영장인데 사람이 물에 빠져서 의식을 잃었어요 .,LOC O LOC O O O O O O
수영장에서 사람이 쓰러져 있어요 .,LOC O O O O
성대 근처 체육관인데 사람이 다쳤어요 .,LOC O LOC O O O
체육관에서 살인사건이 발생했어요 .,LOC O O O
강남구 논현로 175길 주변에 이상한 소리가 들리는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O
종로구 세검정로 12길 주택에서 불이 나서 대피가 필요할 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O O
